uniqid — UNIQUE RESPONDENT ID (CASEID BY VERIAN COUNTRY CODE),serialid — SERIAL CASE ID (APPOINTED BY VERIAN),isocntry — COUNTRY CODE - ISO 3166,w1 — WEIGHT RESULT FROM TARGET (REDRESSMENT),w92 — WEIGHT TOTAL (ALL SAMPLES),d10 — GENDER,d11 — AGE EXACT,d11r2 — AGE RECODED - 6 CATEGORIES,d25 — TYPE OF COMMUNITY,d60 — DIFFICULTIES PAYING BILLS - LAST YEAR,d63 — SOCIAL CLASS - SELF-ASSESSMENT (5 CAT),qc7_1 — HOW MANY DAYS MEET WATER NEEDS IF WATER SERVICES DISRUPTED,qc7_2 — HOW MANY DAYS POWER ESSENT APPLIANCES IF ELEC INTERRUPTED,qc7_3 — HOW MANY DAYS COOK MEALS/HEAT IF GAS DISRUPTED,qc7_4 — HOW MANY DAYS PROVIDE FOOD IF TRANSPORTATION DISRUPTED,qc7_5 — HOW MANY DAYS CONTINUED TREATMENT IF MEDICATION SUPPLY DISRUPTED,qc6.1 — DISASTER MEASURES IN HH: EMERGENCY SUPPLY DRINKS/FOOD,qc6.2 — DISASTER MEASURES IN HH: EMERGENCY SUPPLY WATER COOKING/HYGIENE,qc6.3 — DISASTER MEASURES IN HH: FLASHLIGHT/CANDLES,qc6.4 — DISASTER MEASURES IN HH: BATTERY-POWERED RADIO,qc6.5 — DISASTER MEASURES IN HH: EMERGENCY PHARMACY,qc6.6 — DISASTER MEASURES IN HH: COPIES IMP DOCUMENTS/STORED SAFELY,qc6.7 — DISASTER MEASURES IN HH: EMERGENCY GRAB-BAG,qc6.8 — DISASTER MEASURES IN HH: SIGNED UP FOR ALERTS,qc6.9 — DISASTER MEASURES IN HH: PARTICIPATED IN TRAINING/EXERCISE,qc6.10 — DISASTER MEASURES IN HH: INFORMED ABOUT OFFICIAL RESPONSE PLAN,qc6.11 — DISASTER MEASURES IN HH: AGREED WITH FRIENDS/FAMILY TO CONTACT,qc6.12 — DISASTER MEASURES IN HH: DISCUSSED COMMON PROT MEASURES IN NEIGHBOURHOOD,qc6.13 — DISASTER MEASURES IN HH: INVESTED IN PROT MEASURES IN HOME,qc6.14 — DISASTER MEASURES IN HH: OTHER,qc6.15 — DISASTER MEASURES IN HH: DK (SPONT),qc6t — DISASTER MEASURES IN HH - NUMBER OF MEASURES,qc5_1 — STATEMENTS DISASTER RISKS - READ/SEENHEARD INFO IN LAST 12M,qc5_2 — STATEMENTS DISASTER RISKS - FEEL WELL INFORMED,qc5_3 — STATEMENTS DISASTER RISKS - TRUST INFORMATION BY PUB AUTH ON RISKS WHERE YOU LIVE,qc5_4 — STATEMENTS DISASTER RISKS - EASY TO FIND INFORMATION BY PUB AUTH ON RISKS WHERE YOU LIVE,qc5_5 — STATEMENTS DISASTER RISKS - KNOW WHERE TO FIND INFO WHEN TRAVELLING TO OTH EU CNTRY,qc8_1 — PERSONAL DISASTER PREPAREDNESS - BETTER ABLE TO COPE BY PREP,qc8_2 — PERSONAL DISASTER PREPAREDNESS - FEEL WELL PREPARED,qc8_3 — PERSONAL DISASTER PREPAREDNESS - NO TIME/FIN RESOURCES TO PREP,qc8_4 — PERSONAL DISASTER PREPAREDNESS - EASY TO FIND INFO ON HOW TO PREP,qc8_5 — PERSONAL DISASTER PREPAREDNESS - NEED MORE INFO TO PREP,qc8_6 — PERSONAL DISASTER PREPAREDNESS - KNOW HOW EMERG SERVICES WILL ALERT,qc8_7 — PERSONAL DISASTER PREPAREDNESS - KNOW WHAT TO DO IN EVENT OF DISASTER,qc8_8 — PERSONAL DISASTER PREPAREDNESS - EMPLOYER/SCHOOL ENCOURAGES TRAINING/PREP,qc8_9 — PERSONAL DISASTER PREPAREDNESS - EMERG SERVICES ENCOURAGE TRAINING/PREP
170000001.0,1.0,HR,0.6907568525811473,0.16591091864796392,Woman,25.0,25-34,Rural area or village,Almost never/never,The middle class of society,More than 7 days,2 - 3 days,More than 7 days,More than 7 days,More than 7 days,"Keep an emergency supply stock/pack of drinks, food",Keep an emergency supply of water for cooking and hygiene,Have flashlight or candles accessible,Have a battery-powered radio accessible,Keep a home pharmacy for emergencies,Have made sure you have copies of your most important documents or have stored them safely,"Have prepared a grab-bag, in case you need to evacuate rapidly in an emergency",Have signed up for alerts and warnings from emergency services or authorities,"Have participated in a training or exercise, to learn how to react in an emergency",Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,+5 mentions,Tend to agree,Totally agree,Tend to agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally disagree,Totally agree,Tend to disagree,Totally agree,Tend to agree,Totally disagree,Tend to disagree
170000002.0,2.0,HR,1.5146330388807525,0.36379539045650205,Woman,20.0,15-24,Rural area or village,Almost never/never,The middle class of society,2 - 3 days,2 - 3 days,2 - 3 days,2 - 3 days,2 - 3 days,"Keep an emergency supply stock/pack of drinks, food",Keep an emergency supply of water for cooking and hygiene,Have flashlight or candles accessible,Have a battery-powered radio accessible,Keep a home pharmacy for emergencies,Have made sure you have copies of your most important documents or have stored them safely,"Have prepared a grab-bag, in case you need to evacuate rapidly in an emergency",Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,"Have invested in protective measures in your home (e.g. flood-proofed the electricity installation, cleared (...)",Not mentioned,Not mentioned,+5 mentions,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Totally agree,Tend to agree,Tend to disagree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree
170000003.0,3.0,HR,1.0884518162902181,0.26143213790780373,Man,29.0,25-34,Rural area or village,Almost never/never,The middle class of society,2 - 3 days,1 day or less,More than 7 days,4 - 7 days,2 - 3 days,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,"Have participated in a training or exercise, to learn how to react in an emergency",Not mentioned,"Agreed with family, friends on how to contact each other in case of an emergency",Not mentioned,Not mentioned,Not mentioned,Not mentioned,2 mentions,Tend to agree,Tend to disagree,Tend to agree,Tend to disagree,Tend to disagree,Totally agree,Tend to disagree,Tend to disagree,Tend to disagree,Tend to agree,Tend to disagree,Tend to disagree,Tend to disagree,Tend to disagree
170000004.0,4.0,HR,0.9825822262779831,0.2360036229822138,Man,47.0,45-54,Small or middle sized town,From time to time,The working class of society,2 - 3 days,2 - 3 days,More than 7 days,4 - 7 days,2 - 3 days,"Keep an emergency supply stock/pack of drinks, food",Keep an emergency supply of water for cooking and hygiene,Not mentioned,Not mentioned,Keep a home pharmacy for emergencies,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,3 mentions,Tend to agree,Tend to agree,Tend to agree,Tend to disagree,Tend to disagree,Totally agree,Tend to agree,Tend to disagree,Tend to disagree,Tend to agree,Tend to disagree,Tend to disagree,Tend to disagree,Tend to disagree
170000005.0,5.0,HR,1.054619119947252,0.2533059590510552,Man,55.0,55-64,Rural area or village,Almost never/never,The working class of society,4 - 7 days,1 day or less,1 day or less,4 - 7 days,4 - 7 days,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Don't know (SPONTANEOUS),Don't know (SPONTANEOUS),Tend to disagree,Tend to disagree,Tend to agree,Don't know (SPONTANEOUS),Tend to agree,Tend to agree,Tend to disagree,Tend to agree,Tend to disagree,Totally agree,Tend to agree,Don't know (SPONTANEOUS),Don't know (SPONTANEOUS),Tend to disagree
170000006.0,6.0,HR,0.5474366235716533,0.1314872415364751,Woman,36.0,35-44,Rural area or village,From time to time,The working class of society,More than 7 days,1 day or less,1 day or less,4 - 7 days,More than 7 days,Not mentioned,Not mentioned,Have flashlight or candles accessible,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,1 mention,Totally disagree,Totally disagree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to disagree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Don't know (SPONTANEOUS),Tend to agree,Don't know (SPONTANEOUS)
170000007.0,7.0,HR,0.5474366235716533,0.1314872415364751,Woman,39.0,35-44,Rural area or village,Almost never/never,The working class of society,2 - 3 days,2 - 3 days,2 - 3 days,2 - 3 days,2 - 3 days,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Have made sure you have copies of your most important documents or have stored them safely,Not mentioned,Not mentioned,"Have participated in a training or exercise, to learn how to react in an emergency",Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,2 mentions,Tend to disagree,Totally agree,Tend to agree,Tend to agree,Totally agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to disagree,Tend to disagree,Tend to disagree,Tend to disagree
170000008.0,8.0,HR,1.4391067372768533,0.34565494344629444,Woman,69.0,65-74,Rural area or village,From time to time,The working class of society,More than 7 days,1 day or less,1 day or less,4 - 7 days,More than 7 days,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Don't know (SPONTANEOUS),Don't know (SPONTANEOUS),Totally disagree,Totally disagree,Tend to agree,Tend to disagree,Don't know (SPONTANEOUS),Tend to agree,Totally disagree,Totally agree,Tend to disagree,Tend to agree,Tend to agree,Totally disagree,Totally disagree,Tend to disagree
170000009.0,9.0,HR,1.169947328495481,0.28100631259045467,Man,35.0,35-44,Rural area or village,From time to time,The working class of society,4 - 7 days,1 day or less,1 day or less,More than 7 days,4 - 7 days,Not mentioned,Not mentioned,Have flashlight or candles accessible,Have a battery-powered radio accessible,Keep a home pharmacy for emergencies,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,3 mentions,Tend to agree,Tend to disagree,Tend to agree,Tend to disagree,Tend to agree,Totally agree,Tend to disagree,Tend to disagree,Tend to agree,Tend to agree,Tend to agree,Tend to disagree,Tend to disagree,Tend to disagree
170000010.0,10.0,HR,0.43370993682903786,0.10417155295264022,Woman,37.0,35-44,Large town,Almost never/never,The lower middle class of society,2 - 3 days,More than 7 days,4 - 7 days,More than 7 days,4 - 7 days,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,"Have prepared a grab-bag, in case you need to evacuate rapidly in an emergency",Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,1 mention,Totally agree,Tend to disagree,Tend to disagree,Tend to disagree,Tend to disagree,Totally agree,Tend to agree,Tend to disagree,Tend to disagree,Tend to agree,Tend to disagree,Tend to agree,Tend to disagree,Totally disagree
