variable,label,has_value_labels,used_by_project
studyno1,ARCHIVE STUDY NUMBER - DISTRIBUTOR,True,False
studyno2,ARCHIVE STUDY NUMBER - PUBLISHER,True,False
doi,DIGITAL OBJECT IDENTIFIER,False,False
version,GESIS ARCHIVE VERSION & DATE,False,False
edition,DATASET EDITION,True,False
survey,SURVEY IDENTIFICATION,True,False
respondent_serial,SERIAL CASE ID (APPOINTED BY VERIAN - COUNTRY SPECIFIC),False,False
serialid,SERIAL CASE ID (APPOINTED BY VERIAN),False,True
uniqid,UNIQUE RESPONDENT ID (CASEID BY VERIAN COUNTRY CODE),False,True
tnscntry,ORIGINAL VERIAN COUNTRY/SAMPLE ID,True,False
country,COUNTRY/SAMPLE ID (SERIES STANDARD),True,False
isocntry,COUNTRY CODE - ISO 3166,False,True
d11,AGE EXACT,True,True
d11r1,AGE RECODED - 4 CATEGORIES,True,False
d11r2,AGE RECODED - 6 CATEGORIES,True,True
q1.1,NATIONALITY: BELGIUM,True,False
q1.2,NATIONALITY: DENMARK,True,False
q1.3,NATIONALITY: GERMANY,True,False
q1.4,NATIONALITY: GREECE,True,False
q1.5,NATIONALITY: SPAIN,True,False
q1.6,NATIONALITY: FRANCE,True,False
q1.7,NATIONALITY: IRELAND,True,False
q1.8,NATIONALITY: ITALY,True,False
q1.9,NATIONALITY: LUXEMBOURG,True,False
q1.10,NATIONALITY: NETHERLANDS,True,False
q1.11,NATIONALITY: PORTUGAL,True,False
q1.12,NATIONALITY: UNITED KINGDOM,True,False
q1.13,NATIONALITY: AUSTRIA,True,False
q1.14,NATIONALITY: SWEDEN,True,False
q1.15,NATIONALITY: FINLAND,True,False
q1.16,NATIONALITY: CYPRUS,True,False
q1.17,NATIONALITY: CZECH REPUBLIC,True,False
q1.18,NATIONALITY: ESTONIA,True,False
q1.19,NATIONALITY: HUNGARY,True,False
q1.20,NATIONALITY: LATVIA,True,False
q1.21,NATIONALITY: LITHUANIA,True,False
q1.22,NATIONALITY: MALTA,True,False
q1.23,NATIONALITY: POLAND,True,False
q1.24,NATIONALITY: SLOVAKIA,True,False
q1.25,NATIONALITY: SLOVENIA,True,False
q1.26,NATIONALITY: BULGARIA,True,False
q1.27,NATIONALITY: ROMANIA,True,False
q1.28,NATIONALITY: CROATIA,True,False
q1.41,NATIONALITY: OTHER COUNTRIES,True,False
qa1,EUROPEAN PARLIAMENT - POSITIVE/NEGATIVE,True,False
qa2,EUROPEAN PARLIAMENT – ROLE PREFERENCE,True,False
qa3,FOLLOWING EU POLITICS,True,False
d78,EU IMAGE - POSITIVE/NEGATIVE,True,False
qa4,EU MEMBERSHIP - GOOD/BAD,True,False
qa5,IMPORTANCE EU MEMBERSHIP FOR COUNTRY,True,False
qa6,EU MEMBERSHIP - COUNTRY BENEFIT,True,False
sd22,EU FUTURE - OPTIMISTIC/PESSIMISTIC,True,False
qa7,EU ACTIONS IMPACT DAILY LIFE,True,False
qa8_1,EU CRISES RESPONSE SATISFACTION - COVID-19 PANDEMIC,True,False
qa8_2,EU CRISES RESPONSE SATISFACTION - CLIMATE CHANGE,True,False
qa8_3,EU CRISES RESPONSE SATISFACTION - ECON/FIN SITUATION,True,False
qa8_4,EU CRISES RESPONSE SATISFACTION - RUSSIAS INVASION OF UKRAINE,True,False
qa8_5,EU CRISES RESPONSE SATISFACTION - MIGRATION,True,False
qa8_6,EU CRISES RESPONSE SATISFACTION - BREXIT,True,False
qa9,DEVELOPMENT EU ROLE PAST YEARS,True,False
qa10_1,VIEW ABOUT: CHINA,True,False
qa10_2,VIEW ABOUT: RUSSIA,True,False
qa10_3,VIEW ABOUT: USA,True,False
qa10_4,VIEW ABOUT: TUERKIYE,True,False
qa11a,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION - FIRSTLY,True,False
qa11b.1,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION 2ND: ENERGY ISSUES,True,False
qa11b.2,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION 2ND: DEFENCE & SECURITY,True,False
qa11b.3,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION 2ND: FOREIGN RELATIONS & DIPLOMACY,True,False
qa11b.4,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION 2ND: EU ENLARGEMENT,True,False
qa11b.5,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION 2ND: TECHNOLOGY & INNOVATION INCL AI,True,False
qa11b.6,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION 2ND: EU VALUES,True,False
qa11b.7,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION 2ND: COMPETITIVENESS/ECONOMY/INDUSTRY,True,False
qa11b.8,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION 2ND: INTERNATIONAL TRADE,True,False
qa11b.9,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION 2ND: THE EURO,True,False
qa11b.10,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION 2ND: CLIMATE ACTION & EMISSIONS REDUCTIONS,True,False
qa11b.11,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION 2ND: FOOD SECURITY & AGRICULTURE,True,False
qa11b.12,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION 2ND: EDUCATION AND RESEARCH,True,False
qa11b.13,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION 2ND: DEMOGRAPHY/MIGRATION/POP AGEING,True,False
qa11b.14,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION 2ND: CULTURE,True,False
qa11b.15,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION 2ND: OTHER (SPONT),True,False
qa11b.16,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION 2ND: NONE (SPONT),True,False
qa11b.17,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION 2ND: DK (SPONT),True,False
qa11t.1,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION: ENERGY ISSUES (SUM),True,False
qa11t.2,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION: DEFENCE & SECURITY (SUM),True,False
qa11t.3,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION: FOREIGN RELATIONS & DIPLOMACY (SUM),True,False
qa11t.4,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION: EU ENLARGEMENT (SUM),True,False
qa11t.5,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION: TECHNOLOGY & INNOVATION INCL AI (SUM),True,False
qa11t.6,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION: EU VALUES (SUM),True,False
qa11t.7,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION: COMPETITIVENESS/ECONOMY/INDUSTRY (SUM),True,False
qa11t.8,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION: INTERNATIONAL TRADE (SUM),True,False
qa11t.9,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION: THE EURO (SUM),True,False
qa11t.10,FOCAL FUTURE ASPECTS TO REINFORCE EU POSITION: CLIMATE ACTION & EMISSIONS REDUCTIONS (SUM),True,False
